IDENTIFYER,Location,Authors,year,Journal,Species,Family,N_fix,Growth_Habit,Koppen,Lat,Long,MAP,MAT,EVAP,DryIND,Elevation,Land_system,Narea,WUEi,Aarea,gsarea,Log10Narea,Log10WUEi,Log10A,Log10gs,SLA,LMA,Log10SLA
265,D,Gulias,2003,Annal Bot,Phlomis italica,Lamiaceae ,N,Ev. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,2.3,47.7,20,0.419,0.361727836,1.678815973,1.301029996,-0.377785977,,,
266,D,Gulias,2003,Annal Bot,Pinus halepensis,Pinaceae,N,Gymnosperm,C,39.72,3,606,16.4,,2.01,30,Natural,1.6,8.4,7.6,0.9,0.204119983,0.926571083,0.880813592,-0.045757491,,,
267,D,Gulias,2003,Annal Bot,Pistacia lentiscus,Anacardiaceae,N,Ev. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,2.8,85.1,12.6,0.148,0.447158031,1.93010883,1.100370545,-0.829738285,,,
268,D,Gulias,2003,Annal Bot,Pistacia terebinthus,Anacardiaceae,N,Ev. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,3.8,55.3,20.7,0.374,0.579783597,1.743098743,1.315970345,-0.427128398,,,
270,D,Gulias,2003,Annal Bot,Populus alba,Salicaceae,N,Dec. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,1.1,74.1,16.6,0.224,0.041392685,1.86986007,1.220108088,-0.649751982,,,
271,D,Gulias,2003,Annal Bot,Populus nigra,Salicaceae,N,Dec. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,2.3,66.5,15.3,0.23,0.361727836,1.822963595,1.184691431,-0.638272164,,,
272,D,Gulias,2003,Annal Bot,Pteridium aquilinum,Dennstaedtiaceae,N,Fern,C,39.72,3,606,16.4,,2.01,30,Natural,2.3,91.1,12.3,0.135,0.361727836,1.959571343,1.089905111,-0.869666232,,,
273,D,Gulias,2003,Annal Bot,Quercus coccifera,Fagaceae,N,Dec. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,1.6,96.2,10,0.104,0.204119983,1.982966661,1,-0.982966661,,,
274,D,Gulias,2003,Annal Bot,Quercus humilis,Fagaceae,N,Dec. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,2.8,64.1,16.6,0.259,0.447158031,1.806808324,1.220108088,-0.586700236,,,
275,D,Gulias,2003,Annal Bot,Quercus ilex,Fagaceae,N,Dec. Ang.,C,39.72,3,606,16.4,,2.01,30,Natural,2.6,53.7,11.6,0.216,0.414973348,1.730004238,1.064457989,-0.665546249,,,
