Site,Date_Asat,Date_Rd,Species,Code,Fixer,Nonfixer,Meas,Treatment,Rep,T30_air,Tair,Tleaf,Tleaf_cor,A_area,A_mass,Rd_area,Rd_mass,E,g,WUE (A/g),%N_mass,gN_m-2,LMA,d13C,Leaf_bio_g_end,AGB_est_kg_harv,NLIM,NSAT,NLIM_Alt1,NLSAT_Alt1,NLIM_Alt2,NSAT_Alt2,WL/DIS/DAM,Use_biomass_end
S,8/23/2018,8/28/2018,BENI,BENI18,0,1,2,LN,61,NA,NA,NA,NA,6.28,114.1818182,0.42,8.74,0.00264,0.223,28.16143498,1.34,0.74,55,-32.7,0.2,0.007307542,1,0,1,0,1,0,1,0
S,9/7/2018,8/28/2018,BENI,BENI18,0,1,2,MN,63,NA,NA,NA,NA,14.81,251.8707483,0.7,10.58,0.00698,0.649,22.81972265,2.11,1.24,58.8,-32.44,12.5,0.207478259,0,1,0,1,0,1,1,0
S,8/23/2018,8/28/2018,BENI,BENI18,0,1,2,HN,65,NA,NA,NA,NA,14.31,227.5039746,0.78,14.71,0.00557,0.505,28.33663366,1.99,1.25,62.9,-32.55,175.3,1.795475195,0,1,0,1,0,1,1,1
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,HN,2,NA,NA,NA,NA,21.18,465.4945055,0.6,20.35,0.00467,0.407,52.03931204,3.71,1.69,45.5,-29.4,1057.7,6.638601505,0,1,0,1,0,1,0,1
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,NP,4,NA,NA,NA,NA,22.31,452.535497,0.83,16.89,0.00628,0.574,38.86759582,2.86,1.41,49.3,-30.37,51.9,0.631291963,0,1,0,1,0,1,0,0
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,MN,10,NA,NA,NA,NA,11.69,163.7254902,0.99,18.8,0.00225,0.191,61.20418848,2.73,1.95,71.4,-29.28,719.2,5.007140186,0,1,0,1,0,1,1,0
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,MN,12,NA,NA,NA,NA,20.75,273.7467018,0.83,12.44,0.00562,0.499,41.58316633,2.8,2.12,75.8,-29.22,3680.3,29.07929844,0,1,0,1,0,1,0,1
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,LN,14,NA,NA,NA,NA,18.54,282.1917808,0.64,10.02,0.00465,0.411,45.10948905,2.94,1.93,65.7,-29.57,2339.8,21.70321749,0,1,0,1,0,1,0,1
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,HN,16,NA,NA,NA,NA,15.36,392.8388747,1.69,41.27,0.0024,0.203,75.66502463,3.78,1.48,39.1,-30.45,3157.2,21.31846258,0,1,0,1,0,1,0,0
T,8/21/2018,8/27/2018,ROPS,ROPS18,1,0,2,HN,18,NA,NA,NA,NA,19.91,379.2380952,0.83,13.33,0.00551,0.493,40.38539554,3.34,1.75,52.5,-29.29,5868.4,45.34833663,0,1,0,1,0,1,0,1
